url,title,content
https://ja.wikipedia.org/wiki?curid=2727112,真・女神転生IV,...始まった。<br>儀式の後にサムライの同期と顔を合わせたが、驚くべきことにそこには夢で見た少年二人がいた。<br>紳士的な青年ヨナタンと血気盛んな青年ワルター、彼らも同じような夢を見ておりフリンにデジャ...
https://ja.wikipedia.org/wiki?curid=2714343,モン＝ルイ (ピレネー＝オリアンタル県),...角と往来が容易な西側には数多くの防衛設備が設置された。要塞は驚くべきことに4つのゾーンに分けられていた。シタデル、高地のまち、低地のまち、そして待避所である（後者の2つは最終的には建設されなかった）。一...
https://ja.wikipedia.org/wiki?curid=2794213,Arp 220,...あるSCUBAのような機器を使用したサブミリ波での観測では、驚くべきことにArp 220のような超高光度赤外線銀河が多数見つかっている。2008年にはアレシボ天文台の天文学者が有機分子を発見している。A...
https://ja.wikipedia.org/wiki?curid=2869182,ルーカスパラドックス,...が先進国よりも投資先として魅力的と見られているわけではない。驚くべきことに、先進国から発展途上国への資本のフローは極めて小さい。1990年にロバート・ルーカスによって議論されたこのパラドックスをルーカス...
https://ja.wikipedia.org/wiki?curid=2851965,バージニア2 (装甲艦),...している。艦隊がジェームズ川を通常哨戒中の10月22日早朝、驚くべきことに北軍がコックスヒルの要塞化を完了していることが発見された。南軍の木造艦艇の撤退を助けるため、バージニア2は装甲艦2隻を伴って砲台...
https://ja.wikipedia.org/wiki?curid=2852139,MiRNA-21,...害したところ、間質の線維化の抑制や心機能の改善が認められた。驚くべきことに、miR-21のグローバルノックアウトマウスは、野生型マウスと比較し、心負荷に対する明らかな反応の違いは、ほとんど認められなかっ...
https://ja.wikipedia.org/wiki?curid=3779569,嗤う分身,...職場にジェームズ・サイモンという名前の新入社員がやって来た。驚くべきことに、ジェームズとサイモンの容姿は瓜二つであった。しかし、ジェームズは実に要領が良く、魅力に溢れる人間であった。自分のそっくりさんが...
https://ja.wikipedia.org/wiki?curid=3814551,ハンキー・パンキー (トミー・ジェイムス&amp;ザ・ションデルズの曲),...シングルをパッケージだけ変えて、1966年5月に発表した。「驚くべきことに再レコーディングはしなかった。もっとももししていたら、いじくり回しすぎて台無しにしてただろうと思う。あの曲はあのとおりアマチュア...
https://ja.wikipedia.org/wiki?curid=3795573,未来への誓い,...「ロギンスは後に何曲かの全米トップ10ヒットを放っているが、驚くべきことに、このアルバムからは大ヒット曲が生まれなかった。とはいえ、メロウなムードが維持されている、首尾一貫したレコードである」と評してい...
https://ja.wikipedia.org/wiki?curid=3787358,ザ・ミラクル・シーズン,...利する必要があった。トロイアンズの連覇は絶望的に思われたが、驚くべきことに、彼女たちは14連勝を成し遂げたのである。そして、決勝戦の日がやって来た。2016年5月5日、ヘレン・ハントがショーン・マクナマ...
https://ja.wikipedia.org/wiki?curid=3799774,ヘレディタリー/継承,...うな邪悪な時代精神を反映した古典的名作にまで遡るものである。驚くべきことに、この作品はアリ・アスターの監督・脚本家デビュー作である。これは恵まれたことである。」と述べている。...
